PURCHASE_ORDER_LINE_ID,PURCHASE_ORDER_ID,ORDER_DATE,ORDER_STATUS,BUYER_NAME,SUPPLIER_ID,SUPPLIER_NAME,SUPPLIER_CITY,SUPPLIER_STATE,PRODUCT_ID,PRODUCT_NAME,PROCUREMENT_TYPE,ORDERED_QUANTITY,RECEIVED_QUANTITY,UNIT_PRICE,STANDARD_UNIT_PRICE,PROMISED_DELIVERY_DATE,ACTUAL_DELIVERY_DATE,INSPECTION_DATE,INSPECTED_QUANTITY,REJECTED_QUANTITY,DEFECT_CATEGORY,ORDER_LINE_VALUE,PRICE_VARIANCE_AMOUNT,DAYS_LATE,IS_ON_TIME,DEFECT_RATE_PCT,OPEN_ORDER_EXPOSURE
PO-10001-L01,PO-10001,2023-01-01,CANCELLED,Alex Morgan,Access Limited,Access Limited,,,40-0011,LCD,OTS,151,0,100.24,105.40,2023-01-22,,,0,0,,15136.24,-779.16,,,0.00,0.00
PO-10001-L02,PO-10001,2023-01-01,CANCELLED,Alex Morgan,Access Limited,Access Limited,,,40-0044,"1.0uF Ceramic Capacitor, 1206",OTS,252,0,177.49,184.50,2023-01-29,,,0,0,,44727.48,-1766.52,,,0.00,0.00
PO-10001-L03,PO-10001,2023-01-01,CANCELLED,Alex Morgan,Access Limited,Access Limited,,,40-0051,470 ohm Resistor,OTS,353,0,63.34,65.10,2023-02-05,,,0,0,,22359.02,-621.28,,,0.00,0.00
PO-11001-L01,PO-11001,2023-01-01,CANCELLED,Alex Morgan,Imperdiet Electronics,Imperdiet Electronics,,,40-0069,HE 2 Channel solid state relay (B form),OTS,62,0,49.34,47.40,2023-01-30,,,0,0,,3059.08,120.28,,,0.00,0.00
PO-11001-L02,PO-11001,2023-01-01,CANCELLED,Alex Morgan,Imperdiet Electronics,Imperdiet Electronics,,,40-0076,Red/Green SM LED,OTS,163,0,133.08,126.50,2023-02-06,,,0,0,,21692.04,1072.54,,,0.00,0.00
PO-11001-L03,PO-11001,2023-01-01,CANCELLED,Alex Morgan,Imperdiet Electronics,Imperdiet Electronics,,,50-0087,GPS Model 3 US Boxed Product Label,MTS,264,0,218.55,205.60,2023-02-13,,,0,0,,57697.20,3418.80,,,0.00,0.00
PO-12001-L01,PO-12001,2023-01-01,CANCELLED,Alex Morgan,Vulputate Foundation,Vulputate Foundation,,,40-0042,10k Resistor,OTS,924,0,162.06,161.90,2023-02-07,,,0,0,,149743.44,147.84,,,0.00,0.00
PO-12001-L02,PO-12001,2023-01-01,CANCELLED,Alex Morgan,Vulputate Foundation,Vulputate Foundation,,,40-0049,500mW NPN Transistor,OTS,74,0,43.01,42.50,2023-02-14,,,0,0,,3182.74,37.74,,,0.00,0.00
PO-12001-L03,PO-12001,2023-01-01,CANCELLED,Alex Morgan,Vulputate Foundation,Vulputate Foundation,,,40-0056,1M Resistor,OTS,175,0,124.40,121.60,2023-01-21,,,0,0,,21770.00,490.00,,,0.00,0.00
PO-10354-L01,PO-10354,2023-01-02,CLOSED,Daniel Kim,Cubilia Electronics,Cubilia Electronics,Cumberland,ON,40-0051,470 ohm Resistor,OTS,849,849,67.96,65.10,2023-02-04,2023-02-09,2023-02-10,849,0,,57698.04,2428.14,5,0,0.00,0.00
