ID,BOM Level,Name,Project ID,Revision,Phase,Description,Unit of Measure,Procurement Type,Part Owner,Creation Date,Manufacturer,Manufacturer Part Number 1,Manufacturer Part Name 1,Manufacturer 2,Manufacturer Part Number 2,Manufacturer Part Name 2,Vendor 1,Vendor Part Number 1,Vendor Part Name 1,Vendor 2,Vendor Part Number 2,Vendor Part Name 2,Supplier ID
20-0002,1,GPS Car Navigation Unit - Model 3,2,B,In Production,"Product Assembly for GPS Car Navigation System Assembly - Model 3 Includes base product only, no packaging or localized components like charging adapters.",each,MTS,Roger McDonald,3/2/2010,Navit Inc.,GPS 20-0002,GPS Car Navigation Unit - Model 3,Elementum SCI,GPS 20-0002,GPS Car Navigation Unit - Model 3,Ante Corp.,GPS 20-0002,GPS Car Navigation Unit - Model 3,Elementum SCI,GPS 20-0002,GPS Car Navigation Unit - Model 3,Flextronics;SanMina SCI
20-0003,2,"GPS, Front Bezel Assembly",2,A,In Production,"GPS Car Navigation System Front Bezel Assy Includes: Bezel, LCD, gasket and screws",each,OTS,,3/2/2010,Navit Inc.,,,,,,,,,,,,
20-0004,2,"GPS, Rear Assembly",2,B,In Production,"GPS Car Navigation System Model 3, Rear Panel Assembly",each,MTS,Dan Martin,3/2/2010,Navit Inc.,,,,,,,,,,,,
20-0005,1,Package Documentation,2,A,In Production,,each,OTS,,3/2/2010,Arcu Packaging,,,,,,,,,,,,
20-0015,3,"GPS, PCBA, Model 3",2,B,In Production,Board Assembly. This is the primary PCB assembly that sits at the back of the GPS Car Navigation System Model 3,each,MTS,Bret D Lobree,3/2/2010,Ante Corp.,FLX-AUI-8991PCB,AUI Board Assembly,Luctus Aliquet,JB-812-91111A,Board Assy,Ante Corp.,FLX-AUI-8991PCB,AUI Board Assembly,Luctus Aliquet,JB-812-91111A,Board Assy,Flextronics;Jabil
30-0085,1,Packaging,2,A,In Production,"5"" x 5"" x 5"" white box packaging with images & labels attached. See files tab for artwork to be adhered to box.",each,MTS,Amir Mohgadam,3/2/2010,Arcu Packaging,GPS 30-0085,Packaging,,,,Arcu Packaging,GPS 30-0085,Packaging,,,,Sage Packaging;
40-0009,1,"Power Supply, US",2,A,In Production,Input: 110-250 VAC 50/60HZ. output: 5 VDC + 5%. max: 450 mA. Min: 150 mA LEDs: Power. Charge time aprox. 1 hour.,each,OTS,,3/2/2010,At Auctor Co,ZIP-PWR-AC,USB to US Wall Power Adapter,Malesuada Limited,PS881823,USA to USB Power Adapter,At Auctor Co,ZIP-PWR-AC,USB to US Wall Power Adapter,Malesuada Limited,PS881823,USA to USB Power Adapter,Zip-LinQ;FOXCONN
40-0011,3,LCD,2,A,In Production,,each,OTS,,3/2/2010,NEC,NL4864HL11-01B,3.5 inch VGA touch screen,,,,Cubilia Electronics,NEC NL4864HL11-01B,3.5 inch VGA touch screen,,,,Edge Electronics;
40-0035,4,"GPS, Circuit Board",2,A,In Production,Circuit board for the GPS product,each,MTS,Wendy Snow,3/2/2010,Egestas Engineering,502-0088,,Mauris Quis Circuits,502-0088,,Egestas Engineering,502-0088,,Mauris Quis Circuits,502-0088,,Lenthor PCB Engineering;Sierra Circuits / Proto Express
40-0038,4,GPS Micro controller,2,A,In Production,IC CTRLR BASEBAND 32BIT 64-TQFP,each,OTS,Bret D Lobree,3/4/2010,STMicroelectronics,STA2051TR,IC CTRLR BASEBAND 32BIT 64-TQFP,,,,EGETEM,STA2051TR-ND,IC CTRLR BASEBAND 32BIT 64-TQFP,Eleifend,STA2051TR,IC CTRLR BASEBAND 32BIT 64-TQFP,DIGIKEY;Avnet
